Fiscal Year,Eff. Date,Job Code,Title,Union Code,SetID,Grade,Biweekly Min,Biweekly Max,Extended Range,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20
FY18-19,2018/07/01,140,"Chief of Department, (Fire Department)",352,COMMN,0140P,"12,574","12,574",,157.175,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,140,"Chief of Department, (Fire Department)",352,Suppression,0140P,"12,574","12,574",,129.0965,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,150,"Deputy Chief of Department, (Fire Department)",352,COMMN,0150P,"10,854","10,854",,135.675,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,150,"Deputy Chief of Department, (Fire Department)",352,Suppression,0150P,"10,854","10,854",,111.4374,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,170,Assistant Law Librarian,220,COMMN,0170P,"5,000","5,000",,62.5,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,180,Law Librarian,220,COMMN,0180P,"6,808","6,808",,85.0962,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,190,Bookbinder,221,COMMN,0190P,"3,293","3,293",,41.1625,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,380,"Inspector, (Police Department)",911,COMMN,0380P,"5,422","5,422",,67.775,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,381,Inspector II,911,COMMN,0381P,"5,693","5,693",,71.1625,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,382,Inspector III,911,COMMN,0382P,"5,802","5,802",,72.525,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,385,Crime Scene Investigations Manager,911,COMMN,0385P,"5,965","5,965",,74.5625,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,386,Crime Scene Investigations Manager 2,911,COMMN,0386P,"6,263","6,263",,78.2875,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,387,Crime Scene Investigations Manager 3,911,COMMN,0387P,"6,383","6,383",,79.7875,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,390,Chief of Police,353,COMMN,0390P,"12,799","12,799",,159.9875,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,395,Assistant Chief of Police,353,COMMN,0395P,"11,799","11,799",,147.4875,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,400,Deputy Chief,353,COMMN,0400P,"10,549","10,549",,131.8625,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,401,Deputy Chief II,353,COMMN,0401P,"11,076","11,076",,138.45,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,402,Deputy Chief III,353,COMMN,0402P,"11,287","11,287",,141.0875,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,488,Commander (Police Department),353,COMMN,0488P,"8,573","8,573",,107.1625,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,489,Commander II,353,COMMN,0489P,"9,002","9,002",,112.525,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,490,Commander III,353,COMMN,0490P,"9,173","9,173",,114.6625,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,720,"Member, Board of Supervisors",257,COMMN,0720P,"4,813","4,813",,60.1596,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,881,Mayoral Staff I,2,COMMN,0881P,"1,676","2,035",,20.95,21.9875,23.075,24.225,25.4375,,,,,,,,,,,,,,,
FY18-19,2018/07/01,882,Mayoral Staff II,2,COMMN,0882P,"1,801","2,189",,22.5125,23.625,24.8125,26.0625,27.3625,,,,,,,,,,,,,,,
FY18-19,2018/07/01,883,Mayoral Staff III,2,COMMN,0883P,"1,938","2,357",,24.225,25.4375,26.7,28.0375,29.4625,,,,,,,,,,,,,,,
FY18-19,2018/07/01,884,Mayoral Staff IV,2,COMMN,0884P,"2,085","2,534",,26.0625,27.3625,28.725,30.15,31.675,,,,,,,,,,,,,,,
FY18-19,2018/07/01,885,Mayoral Staff V,2,COMMN,0885P,"2,243","2,727",,28.0375,29.4625,30.925,32.475,34.0875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,886,Mayoral Staff VI,2,COMMN,0886P,"2,402","2,920",,30.025,31.5125,33.1,34.7625,36.5,,,,,,,,,,,,,,,
FY18-19,2018/07/01,887,Mayoral Staff VII,2,COMMN,0887P,"2,583","3,140",,32.2875,33.9125,35.6125,37.3875,39.25,,,,,,,,,,,,,,,
FY18-19,2018/07/01,888,Mayoral Staff VIII,2,COMMN,0888P,"2,781","3,381",,34.7625,36.5,38.325,40.25,42.2625,,,,,,,,,,,,,,,
FY18-19,2018/07/01,889,Mayoral Staff IX,2,COMMN,0889P,"2,991","3,635",,37.3875,39.25,41.2125,43.275,45.4375,,,,,,,,,,,,,,,
FY18-19,2018/07/01,890,Mayoral Staff X,2,COMMN,0890P,"3,232","3,928",,40.4,42.425,44.55,46.775,49.1,,,,,,,,,,,,,,,
FY18-19,2018/07/01,891,Mayoral Staff XI,2,COMMN,0891P,"3,481","4,232",,43.5125,45.6875,47.9875,50.375,52.9,,,,,,,,,,,,,,,
FY18-19,2018/07/01,892,Mayoral Staff XII,2,COMMN,0892P,"3,742","4,547",,46.775,49.1125,51.5625,54.125,56.8375,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1010,Information Systems Trainee,21,COMMN,1010P,"2,264","3,541",,28.3,29.125,41.9375,43.1,44.2625,32.35,33.25,34.1625,29.9625,30.8,31.6375,,,,,,,,,
FY18-19,2018/07/01,1010,Information Systems Trainee,21,SFMTA,1010P,"2,264","3,541",,28.3,29.125,41.9375,43.1,44.2625,32.35,33.25,34.1625,29.9625,30.8,31.6375,,,,,,,,,
FY18-19,2018/07/01,1011,IS Technician-Assistant,21,COMMN,1011P,"1,934","2,349",,24.175,25.375,26.6375,27.975,29.3625,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1011,IS Technician-Assistant,21,SFMTA,1011P,"1,934","2,349",,24.175,25.375,26.6375,27.975,29.3625,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1021,IS Administrator I,21,COMMN,1021P,"2,566","3,119",,32.075,33.6625,35.35,37.1375,38.9875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1021,IS Administrator I,21,SFMTA,1021P,"2,566","3,119",,32.075,33.6625,35.35,37.1375,38.9875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1022,IS Administrator II,21,COMMN,1022P,"3,119","3,791",,38.9875,40.9375,42.975,45.125,47.3875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1022,IS Administrator II,21,SFMTA,1022P,"3,119","3,791",,38.9875,40.9375,42.975,45.125,47.3875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1023,IS Administrator III,21,COMMN,1023P,"3,791","4,607",,47.3875,49.7625,52.25,54.8625,57.5875,,,,,,,,,,,,,,,
